station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LNS,2022-01-01 00:01,51.10,46.90,85.48,140.00,7.00,0.00,29.93,null,10.00,null,FEW,BKN,OVC,null,700.00,2300.00,3100.00,null,null,null,null,null,null,null,null,51.10,KLNS 010001Z 14007KT 10SM FEW007 BKN023 OVC031 11/08 A2993 RMK AO2 T01060083,null
LNS,2022-01-01 00:16,51.10,46.90,85.48,140.00,6.00,0.00,29.93,null,10.00,null,FEW,SCT,OVC,null,700.00,2300.00,3300.00,null,null,null,null,null,null,null,null,51.10,KLNS 010016Z 14006KT 10SM FEW007 SCT023 OVC033 11/08 A2993 RMK AO2 T01060083,null
LNS,2022-01-01 00:41,50.00,46.90,89.04,120.00,5.00,0.00,29.92,null,9.00,null,BKN,OVC,null,null,900.00,3300.00,null,null,null,null,null,null,null,null,null,50.00,KLNS 010041Z 12005KT 9SM BKN009 OVC033 10/08 A2992 RMK AO2 T01000083,null
LNS,2022-01-01 00:53,50.00,46.90,89.04,120.00,6.00,0.00,29.91,1013.00,8.00,null,BKN,OVC,null,null,700.00,1000.00,null,null,null,null,null,null,null,null,null,50.00,KLNS 010053Z 12006KT 8SM BKN007 OVC010 10/08 A2991 RMK AO2 SLP130 T01000083,null
LNS,2022-01-01 01:37,50.00,46.90,89.04,120.00,5.00,0.00,29.91,null,7.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,50.00,KLNS 010137Z 12005KT 7SM OVC004 10/08 A2991 RMK AO2 T01000083,null
LNS,2022-01-01 01:53,50.00,46.90,89.04,140.00,6.00,0.00,29.90,1012.50,6.00,null,OVC,null,null,null,400.00,null,null,null,BR,null,null,null,null,null,null,50.00,KLNS 010153Z 14006KT 6SM BR OVC004 10/08 A2990 RMK AO2 SLP125 T01000083,null
LNS,2022-01-01 02:53,51.10,48.00,89.09,170.00,9.00,0.00,29.90,1012.50,6.00,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,51.10,KLNS 010253Z 17009KT 6SM BR OVC003 11/09 A2990 RMK AO2 SLP125 T01060089 56013,null
LNS,2022-01-01 03:53,50.00,46.90,89.04,150.00,8.00,0.00,29.89,1012.30,3.00,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,50.00,KLNS 010353Z 15008KT 3SM BR OVC003 10/08 A2989 RMK AO2 SLP123 T01000083,null
LNS,2022-01-01 04:18,50.00,46.90,89.04,150.00,8.00,0.00,29.88,null,2.50,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,50.00,KLNS 010418Z AUTO 15008KT 2 1/2SM BR OVC003 10/08 A2988 RMK AO2 T01000083,null
LNS,2022-01-01 04:33,50.00,46.90,89.04,130.00,5.00,0.00,29.87,null,1.50,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,50.00,KLNS 010433Z AUTO 13005KT 1 1/2SM BR OVC003 10/08 A2987 RMK AO2 T01000083,null
LNS,2022-01-01 04:53,50.00,48.00,92.80,160.00,5.00,0.00,29.88,1011.70,1.00,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,50.00,KLNS 010453Z AUTO 16005KT 1SM BR OVC002 10/09 A2988 RMK AO2 SLP117 T01000089 401170083,null
LNS,2022-01-01 05:25,50.00,48.00,92.80,140.00,7.00,T,29.86,null,0.75,null,VV ,null,null,null,300.00,null,null,null,-RA BR,null,null,null,null,null,null,50.00,KLNS 010525Z AUTO 14007KT 3/4SM -RA BR VV003 10/09 A2986 RMK AO2 RAB19 P0000 T01000089,null
LNS,2022-01-01 05:53,50.00,48.00,92.80,110.00,4.00,T,29.84,1010.70,0.50,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010553Z AUTO 11004KT 1/2SM FG VV002 10/09 A2984 RMK AO2 RAB19E31 SLP107 P0000 60000 T01000089 10106 20100 58018,null
LNS,2022-01-01 06:53,50.00,48.00,92.80,130.00,4.00,0.00,29.84,1010.60,0.50,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010653Z AUTO 13004KT 1/2SM FG VV002 10/09 A2984 RMK AO2 SLP106 T01000089,null
LNS,2022-01-01 07:16,50.00,48.00,92.80,120.00,4.00,0.00,29.85,null,0.25,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010716Z AUTO 12004KT 1/4SM FG VV002 10/09 A2985 RMK AO2 T01000089,null
LNS,2022-01-01 07:53,50.00,48.00,92.80,100.00,4.00,0.00,29.84,1010.60,0.25,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010753Z AUTO 10004KT 1/4SM FG VV002 10/09 A2984 RMK AO2 SLP106 T01000089,null
LNS,2022-01-01 08:53,50.00,48.00,92.80,0.00,0.00,0.00,29.83,1010.00,0.25,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010853Z AUTO 00000KT 1/4SM FG VV002 10/09 A2983 RMK AO2 SLP100 T01000089 58006,null
LNS,2022-01-01 09:53,50.00,48.00,92.80,90.00,3.00,T,29.80,1009.20,0.25,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,50.00,KLNS 010953Z AUTO 09003KT 1/4SM FG VV002 10/09 A2980 RMK AO2 RAB0859E52 SLP092 P0000 T01000089,null
LNS,2022-01-01 10:53,51.10,48.00,89.09,120.00,4.00,0.01,29.79,1008.90,0.25,null,VV ,null,null,null,300.00,null,null,null,FG,null,null,null,null,null,null,51.10,KLNS 011053Z 12004KT 1/4SM FG VV003 11/09 A2979 RMK AO2 SLP089 P0001 T01060089,null
LNS,2022-01-01 11:53,51.10,48.90,92.14,60.00,3.00,0.00,29.80,1009.20,0.25,null,VV ,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,51.10,KLNS 011153Z 06003KT 1/4SM FG VV002 11/09 A2980 RMK AO2 SLP092 60001 70001 T01060094 10106 20100 55008,null
LNS,2022-01-01 12:53,52.00,48.90,89.13,160.00,6.00,T,29.81,1009.30,0.50,null,VV ,null,null,null,300.00,null,null,null,-RA FG,null,null,null,null,null,null,52.00,KLNS 011253Z 16006KT 1/2SM -RA FG VV003 11/09 A2981 RMK AO2 RAB21 SLP093 P0000 T01110094,null
LNS,2022-01-01 13:02,52.00,50.00,92.86,180.00,7.00,T,29.81,null,0.25,null,VV ,null,null,null,300.00,null,null,null,FG,null,null,null,null,null,null,52.00,KLNS 011302Z 18007KT 1/4SM FG VV003 11/10 A2981 RMK AO2 RAE02 P0000 T01110100,null
LNS,2022-01-01 13:19,52.00,50.00,92.86,160.00,5.00,0.01,29.81,null,0.50,null,VV ,null,null,null,300.00,null,null,null,-RA FG,null,null,null,null,null,null,52.00,KLNS 011319Z 16005KT 1/2SM -RA FG VV003 11/10 A2981 RMK AO2 RAE02B06 P0001 T01110100,null
LNS,2022-01-01 13:31,53.10,50.00,89.18,360.00,6.00,0.02,29.83,null,1.75,null,OVC,null,null,null,300.00,null,null,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011331Z 36006KT 1 3/4SM -RA BR OVC003 12/10 A2983 RMK AO2 RAE02B06 PRESRR P0002 T01170100,null
LNS,2022-01-01 13:44,52.00,50.00,92.86,350.00,5.00,0.02,29.85,null,3.00,null,OVC,null,null,null,200.00,null,null,null,-RA BR,null,null,null,null,null,null,52.00,KLNS 011344Z 35005KT 3SM -RA BR OVC002 11/10 A2985 RMK AO2 RAE02B06 PRESRR P0002 T01110100,null
LNS,2022-01-01 13:53,52.00,50.00,92.86,0.00,0.00,0.03,29.84,1010.60,3.00,null,OVC,null,null,null,200.00,null,null,null,-RA BR,null,null,null,null,null,null,52.00,KLNS 011353Z 00000KT 3SM -RA BR OVC002 11/10 A2984 RMK AO2 RAE02B06 SLP106 P0003 T01110100,null
LNS,2022-01-01 14:25,53.10,50.00,89.18,0.00,0.00,0.01,29.84,null,3.00,null,SCT,BKN,OVC,null,600.00,900.00,4000.00,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011425Z 00000KT 3SM -RA BR SCT006 BKN009 OVC040 12/10 A2984 RMK AO2 P0001 T01170100,null
LNS,2022-01-01 14:39,53.10,50.00,89.18,0.00,0.00,0.01,29.84,null,2.50,null,BKN,OVC,null,null,700.00,7000.00,null,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011439Z 00000KT 2 1/2SM -RA BR BKN007 OVC070 12/10 A2984 RMK AO2 CIG 004V011 P0001 T01170100,null
LNS,2022-01-01 14:51,53.60,50.00,87.56,110.00,3.00,0.02,29.84,null,2.00,null,SCT,OVC,null,null,700.00,7000.00,null,null,-RA BR,null,null,null,null,null,null,53.60,KLNS 011451Z 11003KT 2SM -RA BR SCT007 OVC070 12/10 A2984 RMK AO2 P0002,null
LNS,2022-01-01 14:53,53.10,50.00,89.18,110.00,3.00,0.02,29.84,1010.40,1.50,null,FEW,BKN,OVC,null,700.00,7000.00,8500.00,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011453Z 11003KT 1 1/2SM -RA BR FEW007 BKN070 OVC085 12/10 A2984 RMK AO2 SLP104 P0002 60005 T01170100 50010,null
LNS,2022-01-01 15:11,53.10,51.10,92.89,0.00,0.00,T,29.83,null,0.75,null,FEW,BKN,OVC,null,600.00,1700.00,7000.00,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011511Z 00000KT 3/4SM -RA BR FEW006 BKN017 OVC070 12/11 A2983 RMK AO2 P0000 T01170106,null
LNS,2022-01-01 15:18,53.10,51.10,92.89,120.00,4.00,T,29.83,null,1.50,null,SCT,BKN,OVC,null,600.00,1100.00,7000.00,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011518Z 12004KT 1 1/2SM -RA BR SCT006 BKN011 OVC070 12/11 A2983 RMK AO2 P0000 T01170106,null
LNS,2022-01-01 15:26,53.10,51.10,92.89,140.00,4.00,0.01,29.83,null,2.50,null,SCT,BKN,OVC,null,500.00,2700.00,7000.00,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 011526Z 14004KT 2 1/2SM -RA BR SCT005 BKN027 OVC070 12/11 A2983 RMK AO2 P0001 T01170106,null
LNS,2022-01-01 15:34,54.00,51.10,89.88,130.00,4.00,0.01,29.82,null,3.00,null,SCT,BKN,OVC,null,500.00,3200.00,6000.00,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011534Z 13004KT 3SM -RA BR SCT005 BKN032 OVC060 12/11 A2982 RMK AO2 P0001 T01220106,null
LNS,2022-01-01 15:36,54.00,51.10,89.88,130.00,4.00,0.01,29.82,null,2.50,null,SCT,BKN,OVC,null,500.00,3000.00,6000.00,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011536Z 13004KT 2 1/2SM -RA BR SCT005 BKN030 OVC060 12/11 A2982 RMK AO2 P0001 T01220106,null
LNS,2022-01-01 15:53,54.00,51.10,89.88,0.00,0.00,0.01,29.82,1009.70,2.50,null,SCT,OVC,null,null,300.00,6000.00,null,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011553Z 00000KT 2 1/2SM -RA BR SCT003 OVC060 12/11 A2982 RMK AO2 SLP097 P0001 T01220106,null
LNS,2022-01-01 16:07,54.00,51.10,89.88,0.00,0.00,T,29.81,null,2.50,null,BKN,OVC,null,null,200.00,5500.00,null,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011607Z 00000KT 2 1/2SM -RA BR BKN002 OVC055 12/11 A2981 RMK AO2 P0000 T01220106,null
LNS,2022-01-01 16:47,53.60,51.80,93.60,0.00,0.00,0.01,29.78,null,2.50,null,SCT,BKN,OVC,null,300.00,1000.00,4600.00,null,-RA BR,null,null,null,null,null,null,53.60,KLNS 011647Z 00000KT 2 1/2SM -RA BR SCT003 BKN010 OVC046 12/11 A2978 RMK AO2 P0001,null
LNS,2022-01-01 16:53,54.00,51.10,89.88,0.00,0.00,0.02,29.78,1008.40,2.50,null,SCT,BKN,OVC,null,300.00,1700.00,4600.00,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011653Z 00000KT 2 1/2SM -RA BR SCT003 BKN017 OVC046 12/11 A2978 RMK AO2 SLP084 P0002 T01220106,null
LNS,2022-01-01 17:06,54.00,51.10,89.88,0.00,0.00,T,29.78,null,2.50,null,FEW,SCT,OVC,null,300.00,1200.00,4200.00,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 011706Z 00000KT 2 1/2SM -RA BR FEW003 SCT012 OVC042 12/11 A2978 RMK AO2 P0000 T01220106,null
LNS,2022-01-01 17:30,55.00,52.00,89.59,80.00,3.00,0.03,29.76,null,2.50,null,BKN,OVC,null,null,300.00,4100.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 011730Z 08003KT 2 1/2SM -RA BR BKN003 OVC041 13/11 A2976 RMK AO2 P0003 T01280111,null
LNS,2022-01-01 17:53,55.00,52.00,89.59,70.00,3.00,0.04,29.75,1007.40,2.50,null,BKN,OVC,null,null,300.00,3700.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 011753Z 07003KT 2 1/2SM -RA BR BKN003 OVC037 13/11 A2975 RMK AO2 SLP074 P0004 60012 T01280111 10128 20106 58030,null
LNS,2022-01-01 18:00,55.00,52.00,89.59,50.00,4.00,T,29.74,null,3.00,null,BKN,OVC,null,null,300.00,3700.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 011800Z 05004KT 3SM -RA BR BKN003 OVC037 13/11 A2974 RMK AO2 P0000 T01280111,null
LNS,2022-01-01 18:43,55.00,52.00,89.59,80.00,4.00,T,29.72,null,2.50,null,OVC,null,null,null,300.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 011843Z 08004KT 2 1/2SM -RA BR OVC003 13/11 A2972 RMK AO2 RAE10B30 P0000 T01280111,null
LNS,2022-01-01 18:53,55.00,52.00,89.59,90.00,4.00,T,29.71,1006.30,2.50,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,55.00,KLNS 011853Z 09004KT 2 1/2SM BR OVC003 13/11 A2971 RMK AO2 RAE10B30E52 SLP063 P0000 T01280111,null
LNS,2022-01-01 19:53,55.00,52.00,89.59,110.00,4.00,T,29.70,1005.60,2.00,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,55.00,KLNS 011953Z 11004KT 2SM BR OVC002 13/11 A2970 RMK AO2 RAB32E41 SLP056 P0000 T01280111,null
LNS,2022-01-01 20:46,55.00,52.00,89.59,110.00,4.00,0.03,29.68,null,2.00,null,SCT,OVC,null,null,300.00,2600.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012046Z 11004KT 2SM -RA BR SCT003 OVC026 13/11 A2968 RMK AO2 RAB11 P0003 T01280111,null
LNS,2022-01-01 20:53,55.00,53.10,93.29,100.00,3.00,0.03,29.68,1005.00,2.50,null,SCT,OVC,null,null,300.00,2400.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012053Z 10003KT 2 1/2SM -RA BR SCT003 OVC024 13/12 A2968 RMK AO2 RAB11 SLP050 P0003 60003 T01280117 56023,null
LNS,2022-01-01 21:01,55.00,53.10,93.29,100.00,3.00,T,29.68,null,2.00,null,BKN,OVC,null,null,200.00,2400.00,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012101Z 10003KT 2SM -RA BR BKN002 OVC024 13/12 A2968 RMK AO2 P0000 T01280117,null
LNS,2022-01-01 21:09,55.00,53.10,93.29,0.00,0.00,T,29.68,null,1.50,null,BKN,OVC,null,null,200.00,2200.00,null,null,BR,null,null,null,null,null,null,55.00,KLNS 012109Z 00000KT 1 1/2SM BR BKN002 OVC022 13/12 A2968 RMK AO2 RAE06 P0000 T01280117,null
LNS,2022-01-01 21:26,55.00,52.00,89.59,0.00,0.00,0.01,29.68,null,0.50,null,BKN,OVC,null,null,200.00,1400.00,null,null,-RA FG,null,null,null,null,null,null,55.00,KLNS 012126Z 00000KT 1/2SM -RA FG BKN002 OVC014 13/11 A2968 RMK AO2 RAE06B18 P0001 T01280111,null
LNS,2022-01-01 21:36,55.00,52.00,89.59,0.00,0.00,0.01,29.67,null,0.25,null,BKN,OVC,null,null,200.00,1400.00,null,null,-RA FG,null,null,null,null,null,null,55.00,KLNS 012136Z 00000KT 1/4SM -RA FG BKN002 OVC014 13/11 A2967 RMK AO2 RAE06B18 P0001 T01280111,null
LNS,2022-01-01 21:53,55.00,52.00,89.59,30.00,3.00,0.02,29.68,1005.10,0.50,null,BKN,OVC,null,null,200.00,1400.00,null,null,-RA FG,null,null,null,null,null,null,55.00,KLNS 012153Z 03003KT 1/2SM -RA FG BKN002 OVC014 13/11 A2968 RMK AO2 RAE06B18 SLP051 P0002 T01280111,null
LNS,2022-01-01 21:56,55.00,52.00,89.59,40.00,3.00,0.01,29.68,null,1.00,null,VV ,null,null,null,900.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012156Z 04003KT 1SM -RA BR VV009 13/11 A2968 RMK AO2 P0001 T01280111,null
LNS,2022-01-01 22:05,55.00,52.00,89.59,50.00,3.00,0.01,29.68,null,3.00,null,OVC,null,null,null,700.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012205Z 05003KT 3SM -RA BR OVC007 13/11 A2968 RMK AO2 P0001 T01280111,null
LNS,2022-01-01 22:53,55.00,52.00,89.59,50.00,3.00,0.06,29.68,1004.90,4.00,null,OVC,null,null,null,600.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012253Z 05003KT 4SM -RA BR OVC006 13/11 A2968 RMK AO2 SLP049 P0006 T01280111,null
LNS,2022-01-01 23:08,55.00,52.00,89.59,70.00,5.00,0.02,29.66,null,2.50,null,OVC,null,null,null,700.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 012308Z 07005KT 2 1/2SM -RA BR OVC007 13/11 A2966 RMK AO2 P0002 T01280111,null
